Common Name,Scientific Name,Family,Group,Description,Habitat,Conservation,iNat Observations,Taxon ID,Image 1,Image 2
orange milkwort,Senega lutea,POLYGALACEAE,Wildflowers & Herbs,"Senega lutea, commonly known as orange- or yellow milkwort, is a small herbaceous plant in the milkwort family (Polygonaceae) native to pine-barren depressions and swamps in coastal areas of the southern and eastern the United States. Other common names include bachelor's buttons, red-hot poker, candy weed, and bog Cheetos.",,FL: S4S5 · NatureServe: G5 · US: N5,32,1568936,images/Plants/Wildflowers & Herbs/orange milkwort_1.jpg,images/Plants/Wildflowers & Herbs/orange milkwort_2.jpg
Sandhill laurel,Kalmia hirsuta,ERICACEAE,Wildflowers & Herbs,"Kalmia hirsuta, the hairy mountain-laurel or hairy wicky, is a plant species native to the southeastern United States. It is reported from Florida, Georgia, Alabama and South Carolina. It grows in open, sandy locations such as savannahs, sand hills and pine barrens at elevations of less than 100 m (330 feet).
The epithet ""hirsuta"" means ""covered with coarse stiff hairs"", appropriate as the hairiness of the leaves is one major character in distinguishing this species from its relatives. Kalmia hirsuta is a shrub up to 1.2 m (4 feet) tall.",,,30,164339,images/Plants/Wildflowers & Herbs/Sandhill laurel_1.jpg,images/Plants/Wildflowers & Herbs/Sandhill laurel_2.jpg
candyroot,Senega nana,POLYGALACEAE,Wildflowers & Herbs,"Senega nana, commonly known as candyroot or low bachelors' buttons, is a small species of herbaceous plant native to the south-eastern United States. The root has a sweet liquorice flavor when it is chewed, but it is usually hidden underground until the plant flowers. The seeds of candyroot are dispersed by ants.",,FL: S4S5 · NatureServe: G5,30,1568926,images/Plants/Wildflowers & Herbs/candyroot_1.jpg,images/Plants/Wildflowers & Herbs/candyroot_2.jpg
muscadine,Vitis rotundifolia,VITACEAE,Wildflowers & Herbs,"The taxonomy of Rogers &amp; Mortensen (1979) recognized V. munsoniana, generally of the Florida peninsula, which is fully supported by a recent nuclear DNA phylogeny that includes 3 samples of V. munsoniana from Florida and numerous of V. rotundifolia s.str. from across its range including one from Leon Co., FL (Talavera et al. 2023). This taxon is distinguished by its infructescence usually of 12-30 berries, the &lt;1 cm wide fragile berries dark purple-black and lacking lenticels, and the seeds &lt;7 mm long. A form with small leaf blades 2-3.5 cm wide can be recognized as var. pygmaea and occurs in the scrub of Highlands and Polk Cos. (Ward 2006). Then V. rotundifolia, generally of the panhandle, has an infructescence usually of 2-8 berries, the usually &gt;1.5 cm wide tough berries br",,,29,82529,images/Plants/Wildflowers & Herbs/muscadine_1.jpg,images/Plants/Wildflowers & Herbs/muscadine_2.jpg
Gopherweed,Baptisia lanceolata,FABACEAE,Wildflowers & Herbs,"Baptisia lanceolata, the gopherweed, is a species of flowering plant in the family Fabaceae. It is native to the US states of Alabama, Florida, Georgia, and South Carolina. A perennial reaching 3 ft (1 m), it is found in dry sandy areas such as the Carolina sand hills and open piney woodlands such as the longleaf pine ecosystem. It has bright yellow pea like flowers which attract insect pollinators and bees. The Latin specific epithet lanceolata refers to the shape of the foliage.",,NatureServe: G4 · US: N4,29,159149,images/Plants/Wildflowers & Herbs/Gopherweed_1.jpg,images/Plants/Wildflowers & Herbs/Gopherweed_2.jpg
Hairyflower Spiderwort,Tradescantia hirsutiflora,COMMELINACEAE,Wildflowers & Herbs,"Tradescantia hirsutiflora, commonly called hairyflower spiderwort, is a species of plant in the spiderwort family that is native to the south-central United States of America.",,,23,169867,images/Plants/Wildflowers & Herbs/Hairyflower Spiderwort_1.jpg,images/Plants/Wildflowers & Herbs/Hairyflower Spiderwort_2.jpg
white pitcher plant,Sarracenia leucophylla,SARRACENIACEAE,Wildflowers & Herbs,"Sarracenia leucophylla, also known as the crimson pitcherplant, purple trumpet-leaf or white pitcherplant, is a carnivorous plant in the genus Sarracenia.",,FL: S3 · IUCN Red List: VU · NatureServe: G3 · US: N3,22,121265,images/Plants/Wildflowers & Herbs/white pitcher plant_1.jpg,images/Plants/Wildflowers & Herbs/white pitcher plant_2.jpg
American white waterlily,Nymphaea odorata,Nymphaeaceae,Wildflowers & Herbs,"White water-lily is found in slightly acidic to basic water of lakes, slow-moving streams, and pools in all New England states. Though it normally has white petals, plants with pink petals are occasionally found. The leaves and roots were used by Native Americans for a variety of medical purposes.","Lacustrine (in lakes or ponds), riverine (in rivers or streams)",IUCN Red List: LC,20,51119,images/Plants/Wildflowers & Herbs/American white waterlily_1.jpg,images/Plants/Wildflowers & Herbs/American white waterlily_2.jpg
woody goldenrod,Chrysoma pauciflosculosa,ASTERACEAE,Wildflowers & Herbs,Chrysoma is a genus of flowering plants in the family Asteraceae.,,FL: S5 · NatureServe: G4G5 · US: N4N5,20,160545,images/Plants/Wildflowers & Herbs/woody goldenrod_1.jpg,images/Plants/Wildflowers & Herbs/woody goldenrod_2.jpg
common yucca,Yucca filamentosa,Asparagaceae,Wildflowers & Herbs,"Adam s-needle is native to southeastern North America, but is occasionally found outside its native range due to being widely cultivated. This is the case in New England, where it is sometimes found on sandy soils and disturbed areas in Connecticut, Massachusetts, and Rhode Island. The roots contain saponins and were used by the Cherokee to stun fishes, or as a soap to wash blankets. They also used the root externally to treat sores and sprains.","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",IUCN Red List: LC,19,81605,images/Plants/Wildflowers & Herbs/common yucca_1.jpg,images/Plants/Wildflowers & Herbs/common yucca_2.jpg
southern dewberry,Rubus trivialis,ROSACEAE,Wildflowers & Herbs,"Rubus trivialis, commonly known as southern dewberry, is a species of flowering plant in the rose family (Rosaceae) native to the southern United States and northern Mexico. It is distinguished from northern dewberry (Rubus flagellaris) by its hispid stems. It is a perennial herb and blooms March to April.
R. trivialis has been observed within habitats such as tidal marshes, longleaf pinelands, and coastal hammocks, as well as within disturbed habitats such as alongside roads.",,,18,69714,images/Plants/Wildflowers & Herbs/southern dewberry_1.jpg,images/Plants/Wildflowers & Herbs/southern dewberry_2.jpg
Eastern Coral Bean,Erythrina herbacea,FABACEAE,Wildflowers & Herbs,"Erythrina herbacea, commonly known as the Eastern Coralbean, Cherokee Bean, Mamou in South Louisiana, Red Cardinal, or Cardinal Spear is a flowering shrub or small tree found throughout the southeastern United States and northeastern Mexico; it has also been reported from parts of Central America and, as an introduced species, from Pakistan.  Various other systematic names have been used for this plant in the past, including Erythrina arborea, Erythrina hederifolia, Erythrina humilis, Erythrina rubicunda, Corallodendron herbaceum and Xyphanthus hederifolius.",,FL: S5 · IUCN Red List: LC · NatureServe: G5 · US: N5,18,128717,images/Plants/Wildflowers & Herbs/Eastern Coral Bean_1.jpg,images/Plants/Wildflowers & Herbs/Eastern Coral Bean_2.jpg
butterfly milkweed,Asclepias tuberosa,Apocynaceae,Wildflowers & Herbs,"Butterfly milkweed is very rare in New England, and protected in most states. This is a very recognizable species, differing from other milkweeds by having alternate leaves, yellow-orange flowers, and having clear rather than milky latex. The Iroquois rubbed their legs and running shoes with a poultice of the smashed roots to give them running strength. The Omaha ate the raw root to treat bronchial and pulmonary conditions. And the Cherokee used the fibers to fashion belts.","Anthropogenic (human-disturbed or -maintained habitats), grassland, meadows and fields",NatureServe: G5 · US: N5?,17,47912,images/Plants/Wildflowers & Herbs/butterfly milkweed_1.jpg,images/Plants/Wildflowers & Herbs/butterfly milkweed_2.jpg
flatwoods St. John's-wort,Hypericum microsepalum,CLUSIACEAE,Wildflowers & Herbs,"Hypericum microsepalum, commonly known as flatwoods St. John's wort, is an evergreen, arborescent plant native found along coastal ecoclines in the Florida panhandle.",,,17,163979,images/Plants/Wildflowers & Herbs/flatwoods St. John's-wort_1.jpg,images/Plants/Wildflowers & Herbs/flatwoods St. John's-wort_2.jpg
blackroot,Pterocaulon pycnostachyum,ASTERACEAE,Wildflowers & Herbs,"Pterocaulon pycnostachyum, with the common names dense-spike blackroot, fox-tail blackroot or coastal blackroot, is a flowering plant species native to the U.S. southeast coastal plain in the states of Alabama, Mississippi, North Carolina, Florida, Georgia, and South Carolina. It can be found in pinelands, ditches, depressions, and fields.",,,15,127267,images/Plants/Wildflowers & Herbs/blackroot_1.jpg,images/Plants/Wildflowers & Herbs/blackroot_2.jpg
fourpetal St. Johnswort,Hypericum tetrapetalum,CLUSIACEAE,Wildflowers & Herbs,"Hypericum tetrapetalum, the fourpetal St. Johnswort, is a species of flowering plant in the St. John's wort family, Hypericaceae. It is found in the Southeastern United States and Cuba. It was first described by Jean-Baptiste Lamarck in 1797.",,,15,128076,images/Plants/Wildflowers & Herbs/fourpetal St. Johnswort_1.jpg,images/Plants/Wildflowers & Herbs/fourpetal St. Johnswort_2.jpg
Florida rosemary,Ceratiola ericoides,ERICACEAE,Wildflowers & Herbs,"This plant exhibits allelopathy, inhibiting germination of some scrub species, perhaps through ceratiolin and its degradation products (Fischer et al. 1994; Hewitt &amp; Menges 2008). A pollen core of Lake Annie showed high amounts of Ceratiola and other scrub species from ca. 13,000-37,000 years ago, indicative of a historically larger scrub ecosystem locally (Watts 1975).",,FL: S4S5 · NatureServe: G4,15,131247,images/Plants/Wildflowers & Herbs/Florida rosemary_1.jpg,images/Plants/Wildflowers & Herbs/Florida rosemary_2.jpg
Soft Greeneyes,Berlandiera pumila,ASTERACEAE,Wildflowers & Herbs,"Berlandiera pumila, the soft greeneyes, is a North American species of flowering plant in the family Asteraceae. It is native to the southeastern and south-central United States (Texas, Oklahoma, Arkansas, Louisiana, Alabama, Georgia, Florida, South Carolina, and North Carolina).
Berlandiera pumila is a branching herb up to 100 cm (40 inches) tall. It has several flower heads with yellow ray florets and maroon disc florets. It grows in open locations such as fields, roadsides, woodlands, etc.",,FL: S4S5 · NatureServe: G4G5,15,159215,images/Plants/Wildflowers & Herbs/Soft Greeneyes_1.jpg,images/Plants/Wildflowers & Herbs/Soft Greeneyes_2.jpg
rusty staggerbush,Lyonia ferruginea,ERICACEAE,Wildflowers & Herbs,"Lyonia ferruginea, the rusty staggerbush, tree lyonia, dragon tree, is a plant of the genus Lyonia. It grows in Florida, Georgia, and South Carolina. It was first described by Thomas Walter, and was named by Thomas Nuttall. No subspecies are listed in the Catalog of Life.
In 1848, it was reported in Georgia, Florida, and Mexico.",,IUCN Red List: LC,15,164987,images/Plants/Wildflowers & Herbs/rusty staggerbush_1.jpg,images/Plants/Wildflowers & Herbs/rusty staggerbush_2.jpg
spoonleaf sundew,Drosera intermedia,Droseraceae,Wildflowers & Herbs,Sundews live in nutrient poor swamps and fens and are carnivorous. Research showed that spatulate-leaved sundews get about 50% of their nitrogen from insects they capture in the sticky hairs on their upper leaf surfaces.,"Bogs, fens, shores of rivers or lakes, swamps, wetland margins (edges of wetlands)",FL: S3,14,53038,images/Plants/Wildflowers & Herbs/spoonleaf sundew_1.jpg,images/Plants/Wildflowers & Herbs/spoonleaf sundew_2.jpg
parrot pitcher plant,Sarracenia psittacina,SARRACENIACEAE,Wildflowers & Herbs,"Sarracenia psittacina, also known as the parrot pitcherplant, is a carnivorous plant in the genus Sarracenia. Like all the Sarracenia, it is native to North America, in the Southeastern United States.
Sarracenia psittacina employs the same trapping mechanism as Darlingtonia californica, using a small entrance in the pitcher mouth, which prey goes through in search of more nectar that was produced by the plant on the rim of the pitcher mouth. The prey is then confused by light shining through what appear to be false exits (or ""windows"") and crawls toward the brighter area down into the pitcher. Criss-crossed downward-facing hairs densely line the interior of the pitcher, forcing the prey further into the pitcher to an area where digestive enzymes such as proteases are prevalent in the liqui",,IUCN Red List: LC,14,62274,images/Plants/Wildflowers & Herbs/parrot pitcher plant_1.jpg,images/Plants/Wildflowers & Herbs/parrot pitcher plant_2.jpg
Earleaf Greenbrier,Smilax auriculata,SMILACACEAE,Wildflowers & Herbs,"Smilax auriculata  is a North American plant species native to the Bahamas, the Turks and Caicos Islands, and the southeastern United States. Common names include  earleaf greenbrier and wild-bamboo, despite the fact that it is not closely related to bamboo. It is reported from Florida, Georgia, North and South Carolina, Alabama, Mississippi, and Louisiana. It grows on coastal sand dunes and in sun-lit locations in sandy woodlands at elevations of less than 100 m (333 feet).
Smilax auriculata is a perennial vine, producing underground rhizomes and sometimes tubers.",,,14,127910,images/Plants/Wildflowers & Herbs/Earleaf Greenbrier_1.jpg,images/Plants/Wildflowers & Herbs/Earleaf Greenbrier_2.jpg
Greater Florida Spurge,Euphorbia floridana,EUPHORBIACEAE,Wildflowers & Herbs,"Euphorbia is a large and diverse genus of flowering plants, commonly called spurge, in the family Euphorbiaceae.
Euphorbias range from tiny annual plants to large and long-lived trees, with perhaps the tallest being Euphorbia ampliphylla at 30 m (98 ft) or more.  The genus has roughly 2,000 members, making it one of the largest genera of flowering plants.",,NatureServe: G4?,14,162825,images/Plants/Wildflowers & Herbs/Greater Florida Spurge_1.jpg,images/Plants/Wildflowers & Herbs/Greater Florida Spurge_2.jpg
pickerelweed,Pontederia cordata,Pontederiaceae,Wildflowers & Herbs,"Pickerelweed is a common aquatic plant throughout New England. Its leaves are rather variable, but it is easily recognized by the large, dense inflorescence of blue-purple (occasionally white) flowers. The large, edible seeds are eaten by ducks, while deer and muskrat browse on the foliage.","Lacustrine (in lakes or ponds), riverine (in rivers or streams)",,13,52599,images/Plants/Wildflowers & Herbs/pickerelweed_1.jpg,images/Plants/Wildflowers & Herbs/pickerelweed_2.jpg
lyreleaf sage,Salvia lyrata,Lamiaceae,Wildflowers & Herbs,"New England s only native sage (Salvia), lyre-leaved sage enters New England only in southern Connecticut, where it is rare. This species is sometimes grown in flower gardens, but can be a rather invasive lawn weed, tolerating mowing and competition from grasses.",Meadows and fields,,13,64093,images/Plants/Wildflowers & Herbs/lyreleaf sage_1.jpg,images/Plants/Wildflowers & Herbs/lyreleaf sage_2.jpg
Zigzag Bladderwort,Utricularia subulata,Lentibulariaceae,Wildflowers & Herbs,"Slender bladderwort reaches the northern limit of its range in southern New England, where it is very rare and known only from Massachusetts and Rhode Island. It is found near the coast in sandy and peaty pond shores, and sometimes bogs and swamps.","Bogs, shores of rivers or lakes, wetland margins (edges of wetlands)",IUCN Red List: LC,13,79468,images/Plants/Wildflowers & Herbs/Zigzag Bladderwort_1.jpg,images/Plants/Wildflowers & Herbs/Zigzag Bladderwort_2.jpg
Tuberous Grasspink,Calopogon tuberosus,Orchidaceae,Wildflowers & Herbs,"Tuberous grass-pink has the broadest range of any of the five species in the grass-pink genus (Calopogon), and the only one found in New England. The knobbed hairs on the lip are believed to imitate pollen, thus attracting pollen-collecting bees. The actual pollen is deposited via a pollinium on the upper side of the bee s abdomen, where the bee cannot reach it.","Bogs, fens, meadows and fields, swamps, wetland margins (edges of wetlands)",IUCN Red List: LC,13,82578,images/Plants/Wildflowers & Herbs/Tuberous Grasspink_1.jpg,images/Plants/Wildflowers & Herbs/Tuberous Grasspink_2.jpg
Skyblue Lupine,Lupinus diffusus,FABACEAE,Wildflowers & Herbs,Recent studies concluded that L. diffusus should be emended to apply only to populations in the Florida panhandle and nearby states (Nevado et al. 2024; Bridges &amp; Orzell 2024). Two related studies proposed alternative taxonomies: 1) L. cumulicola should be reinstated and its circumscription expanded to include all peninsular Florida populations along with recognition of infraspecific taxa (Nevado et al. 2024) or 2) recognize the peninsular Florida populations as four separate species (Bridges &amp; Orzell 2024). (See also: Small 1933; Dunn 1971; Isely 1990; Duncan &amp; McCartney 1992).,,IUCN Red List: LC,13,127263,images/Plants/Wildflowers & Herbs/Skyblue Lupine_1.jpg,images/Plants/Wildflowers & Herbs/Skyblue Lupine_2.jpg
Goldencrest,Lophiola aurea,NARTHECIACEAE,Wildflowers & Herbs,"Lophiola is a genus of monocotyledonous flowering plants native to eastern North America. It has variously been placed in the Liliaceae, the Haemodoraceae, the Tecophilaeaceae or the Nartheciaceae.

Lophiola aurea Ker Gawl. - southeastern United States from Louisiana to North Carolina; also isolated populations in Delaware, New Jersey, and Nova Scotia
Fernald (1921) recommended recognizing three species, separating the Nova Scotia populations as L. septentrionalis and the New Jersey-Delaware material as L. americana. More recent investigations, however, have suggested that the group be regarded as one species.",,FL: S3S4 · NatureServe: G4 · US: N4?,13,164768,images/Plants/Wildflowers & Herbs/Goldencrest_1.jpg,images/Plants/Wildflowers & Herbs/Goldencrest_2.jpg
Burk's southern pitcher plant,Sarracenia rosea,SARRACENIACEAE,Wildflowers & Herbs,The study by Stephens et al. (2015) indicated it may also be appropriate to refer to this taxon as S. purpurea var. burkii.,,FL: S3 · IUCN Red List: NT · NatureServe: G3 · US: N3,13,245875,images/Plants/Wildflowers & Herbs/Burk's southern pitcher plant_1.jpg,images/Plants/Wildflowers & Herbs/Burk's southern pitcher plant_2.jpg
American beautyberry,Callicarpa americana,LAMIACEAE,Wildflowers & Herbs,The insect repellent properties of its terpenoid content (e.g. callicarpenal) are intriguing and potentially comparable to DEET (Cantrell et al. 2005; Cantrell &amp; Klun 2011).,,,12,49193,images/Plants/Wildflowers & Herbs/American beautyberry_1.jpg,images/Plants/Wildflowers & Herbs/American beautyberry_2.jpg
Spanish moss,Tillandsia usneoides,BROMELIACEAE,Wildflowers & Herbs,"Spanish moss (Tillandsia usneoides) is an epiphytic flowering plant that often grows upon large trees in tropical and subtropical climates. It is native to much of Mexico, Bermuda, the Bahamas, Central America, South America (as far south as northern Patagonia), the Southern United States, and West Indies. It has been naturalized in Queensland (Australia). It is colloquially known as ""old man's beard"" in several places, and known as ""grandpa's beard"" in French Polynesia. It has the widest distribution of any bromeliad.",,IUCN Red List: LC,12,49569,images/Plants/Wildflowers & Herbs/Spanish moss_1.jpg,images/Plants/Wildflowers & Herbs/Spanish moss_2.jpg
Savannah meadowbeauty,Rhexia alifanus,MELASTOMATACEAE,Wildflowers & Herbs,"Rhexia alifanus, commonly referred to as savannah meadowbeauty, is a flowering plant in the Rhexia genus. A perennial, it has pink blossoms. It is indigenous to areas of the southeastern United States west to Texas.",,FL: S4 · NatureServe: G5? · US: N5?,12,131637,images/Plants/Wildflowers & Herbs/Savannah meadowbeauty_1.jpg,images/Plants/Wildflowers & Herbs/Savannah meadowbeauty_2.jpg
largeleaf pennywort,Hydrocotyle bonariensis,ARALIACEAE,Wildflowers & Herbs,"Hydrocotyle bonariensis, the largeleaf pennywort, once a member of the family Apiaceae, now in the family Araliaceae and of the genus Hydrocotyle, is a hairless and creeping perennial.",,IUCN Red List: LC,12,163871,images/Plants/Wildflowers & Herbs/largeleaf pennywort_1.jpg,images/Plants/Wildflowers & Herbs/largeleaf pennywort_2.jpg
Yellow Hatpins,Syngonanthus flavidulus,ERIOCAULACEAE,Wildflowers & Herbs,"Syngonanthus flavidulus, common name yellow hatpins, is a flowering plant. It grows in the southeastern United States including Alabama, Florida, Georgia, North Carolina and South Carolina. It is in the Syngonanthus genus and pipewort family Eriocaulaceae. A perennial, it grows to about a foot in height. It grows in flatwoods, prairies, and pond margins.",,,12,169501,images/Plants/Wildflowers & Herbs/Yellow Hatpins_1.jpg,images/Plants/Wildflowers & Herbs/Yellow Hatpins_2.jpg
Coastal groundcherry,Physalis angustifolia,SOLANACEAE,Wildflowers & Herbs,"Physalis angustifolia, the coastal groundcherry, is a species of flowering plant in the family Solanaceae. It is native to the Gulf Coast shoreline of the Southeastern United States, where it is found on maritime dunes and sands.",,US: N3N4 · NatureServe: G3G4,11,132050,images/Plants/Wildflowers & Herbs/Coastal groundcherry_1.jpg,images/Plants/Wildflowers & Herbs/Coastal groundcherry_2.jpg
Canada toadflax,Linaria canadensis,PLANTAGINACEAE,Wildflowers & Herbs,"Nuttallanthus canadensis, the blue toadflax, Canada toadflax, or old-field toadflax, is a species of Nuttallanthus in the family Plantaginaceae, native to eastern North America from Ontario east to Nova Scotia and south to Texas and Florida.",,,11,287345,images/Plants/Wildflowers & Herbs/Canada toadflax_1.jpg,images/Plants/Wildflowers & Herbs/Canada toadflax_2.jpg
Gopher apple,Geobalanus oblongifolius,CHRYSOBALANACEAE,Wildflowers & Herbs,"Recent work indicates this species belongs in the genus Geobalanus (cymose or compact panicles, petals present), which includes two other species from Mexico and Central America. Licania s.s. (petals absent, ca. 100 spp.) then is restricted to the Lesser Antilles, Mexico, Central and South America (Bardon et al. 2016; Sothers et al. 2016). Although normally this species is a very short plant above-ground, a form to ca. 1.5 m tall has been described (Ward &amp; Taylor 1999).",,FL: S5 · NatureServe: G4G5,11,860746,images/Plants/Wildflowers & Herbs/Gopher apple_1.jpg,images/Plants/Wildflowers & Herbs/Gopher apple_2.jpg
Vanillaleaf,Trilisa odoratissima,Asteraceae,Wildflowers & Herbs,"Trilisa is a genus of flowering plants in the tribe Eupatorieae within the family Asteraceae.
Some taxonomists group Trilisa and Litrisa into the genus Carphephorus.

Species
Trilisa odoratissima (J.F.Gmel.) Cass.",,,11,1648274,images/Plants/Wildflowers & Herbs/Vanillaleaf_1.jpg,images/Plants/Wildflowers & Herbs/Vanillaleaf_2.jpg
Kidney-leaf Rosinweed,Silphium compositum,ASTERACEAE,Wildflowers & Herbs,"Silphium compositum, the kidney-leaf rosinweed, is a flowering plant in the family Asteraceae. A perennial in the Silphium genus, it has yellow flowers and is deciduous. It grows in the southeastern United States. It has divided basal leaves.",,FL: S3S4 · US: N5 · NatureServe: G5,10,81823,images/Plants/Wildflowers & Herbs/Kidney-leaf Rosinweed_1.jpg,images/Plants/Wildflowers & Herbs/Kidney-leaf Rosinweed_2.jpg
Spring Ladies' Tresses,Spiranthes vernalis,Orchidaceae,Wildflowers & Herbs,"Spring ladies -tresses has a southern and southeastern distribution, and reaches New England at the northern limit of its range. It can be found in Connecticut, Massachusetts, New Hampshire and Rhode Island. As the name suggests, this species flowers in early spring in the southern parts of its range, but in New England it may not flower until as late as October.","Anthropogenic (human-disturbed or -maintained habitats), grassland, meadows and fields, woodlands",,10,121436,images/Plants/Wildflowers & Herbs/Spring Ladies' Tresses_1.jpg,images/Plants/Wildflowers & Herbs/Spring Ladies' Tresses_2.jpg
Silver Croton,Croton argyranthemus,EUPHORBIACEAE,Wildflowers & Herbs,"Croton argyranthemus, commonly known as the silver croton, sandhill croton, or healing croton, is a forb in the Euphorbiaceae family native to the southeastern United States.",,,10,127281,images/Plants/Wildflowers & Herbs/Silver Croton_1.jpg,images/Plants/Wildflowers & Herbs/Silver Croton_2.jpg
